   1.56000000 -886.40237172 
   1.66608696 -886.39949917 
   1.77217391 -886.39230057 
   1.87826087 -886.38362276 
   1.98434783 -886.37583945 
   2.09043478 -886.36972275 
   2.19652174 -886.36574231 
   2.30260870 -886.36492302 
   2.40869565 -886.36642691 
   2.51478261 -886.36890695 
   2.62086957 -886.37143876 
   2.72695652 -886.37362541 
   2.83304348 -886.37534387 
   2.93913043 -886.37846284 
   3.04521739 -886.37966374 
   3.15130435 -886.38051910 
   3.25739130 -886.38102527 
   3.36347826 -886.38132596 
   3.46956522 -886.38144274 
   3.57565217 -886.38142747 
   3.68173913 -886.38134311 
   3.78782609 -886.38117391 
   3.89391304 -886.38100056 
   4.00000000 -886.38565820 
