   1.56000000 -886.32071753 
   1.66608696 -886.31833680 
   1.77217391 -886.31160230 
   1.87826087 -886.30322446 
   1.98434783 -886.29502459 
   2.09043478 -886.28840649 
   2.19652174 -886.28473083 
   2.30260870 -886.28442181 
   2.40869565 -886.28625894 
   2.51478261 -886.28939877 
   2.62086957 -886.29258768 
   2.72695652 -886.29542795 
   2.83304348 -886.29780595 
   2.93913043 -886.29942395 
   3.04521739 -886.30117215 
   3.15130435 -886.30240766 
   3.25739130 -886.30352279 
   3.36347826 -886.30442339 
   3.46956522 -886.30508756 
   3.57565217 -886.30550017 
   3.68173913 -886.30586735 
   3.78782609 -886.30614823 
   3.89391304 -886.30643545 
   4.00000000 -886.30777683 
