   1.58000000 -2005.49424145 
   1.68521739 -2005.49225431 
   1.79043478 -2005.48645108 
   1.89565217 -2005.47948648 
   2.00086957 -2005.47368095 
   2.10608696 -2005.46955085 
   2.21130435 -2005.46732279 
   2.31652174 -2005.46780272 
   2.42173913 -2005.46994627 
   2.52695652 -2005.47246077 
   2.63217391 -2005.47479203 
   2.73739130 -2005.47668700 
   2.84260870 -2005.47815326 
   2.94782609 -2005.47919310 
   3.05304348 -2005.47991503 
   3.15826087 -2005.48036497 
   3.26347826 -2005.48066266 
   3.36869565 -2005.48088788 
   3.47391304 -2005.48103485 
   3.57913043 -2005.48111246 
   3.68434783 -2005.48112677 
   3.78956522 -2005.48111622 
   3.89478261 -2005.48103703 
   4.00000000 -2005.48096020 
