   1.58000000 -2005.27765663 
   1.68521739 -2005.27610279 
   1.79043478 -2005.27073822 
   1.89565217 -2005.26420173 
   2.00086957 -2005.25777036 
   2.10608696 -2005.25338578 
   2.21130435 -2005.25163632 
   2.31652174 -2005.25183491 
   2.42173913 -2005.25405307 
   2.52695652 -2005.25717554 
   2.63217391 -2005.26019932 
   2.73739130 -2005.26270075 
   2.84260870 -2005.26476560 
   2.94782609 -2005.26642153 
   3.05304348 -2005.26762420 
   3.15826087 -2005.26867067 
   3.26347826 -2005.26929632 
   3.36869565 -2005.26978907 
   3.47391304 -2005.27019516 
   3.57913043 -2005.27050989 
   3.68434783 -2005.27099333 
   3.78956522 -2005.27112349 
   3.89478261 -2005.27147265 
   4.00000000 -2005.27154946 
