   1.55000000 -1421.20289918 
   1.65208333 -1421.20022641 
   1.75416667 -1421.19380771 
   1.85625000 -1421.18569377 
   1.95833333 -1421.17747821 
   2.06041667 -1421.17050058 
   2.16250000 -1421.16588967 
   2.26458333 -1421.16441135 
   2.36666667 -1421.16566904 
   2.46875000 -1421.16840436 
   2.57083333 -1421.17164681 
   2.67291667 -1421.17469349 
   2.77500000 -1421.17736638 
   2.87708333 -1421.17950595 
   2.97916667 -1421.18124716 
   3.08125000 -1421.18251809 
   3.18333333 -1421.18345158 
   3.28541667 -1421.18421301 
   3.38750000 -1421.18315205 
   3.48958333 -1421.18391683 
   3.59166667 -1421.18433936 
   3.69375000 -1421.18482178 
   3.79583333 -1421.18497952 
   3.89791667 -1421.18529604 
   4.00000000 -1421.18542615 
