   1.55000000 -1421.33372393 
   1.65208333 -1421.33056944 
   1.75416667 -1421.32366659 
   1.85625000 -1421.31514648 
   1.95833333 -1421.30704695 
   2.06041667 -1421.30064503 
   2.16250000 -1421.29588654 
   2.26458333 -1421.29399804 
   2.36666667 -1421.29466693 
   2.46875000 -1421.29671603 
   2.57083333 -1421.29921129 
   2.67291667 -1421.30158720 
   2.77500000 -1421.30358701 
   2.87708333 -1421.30516856 
   2.97916667 -1421.30633389 
   3.08125000 -1421.30716713 
   3.18333333 -1421.30774926 
   3.28541667 -1421.30809659 
   3.38750000 -1421.30950018 
   3.48958333 -1421.30982748 
   3.59166667 -1421.31003202 
   3.69375000 -1421.31005261 
   3.79583333 -1421.31007060 
   3.89791667 -1421.31001812 
   4.00000000 -1421.30994538 
