   1.56000000 -847.09661767 
   1.66608696 -847.09443973 
   1.77217391 -847.08805461 
   1.87826087 -847.08018442 
   1.98434783 -847.07267693 
   2.09043478 -847.06701437 
   2.19652174 -847.06441581 
   2.30260870 -847.06447271 
   2.40869565 -847.06614389 
   2.51478261 -847.06838437 
   2.62086957 -847.07055719 
   2.72695652 -847.07244899 
   2.83304348 -847.07381553 
   2.93913043 -847.07498153 
   3.04521739 -847.07650311 
   3.15130435 -847.07742683 
   3.25739130 -847.07803005 
   3.36347826 -847.07857200 
   3.46956522 -847.07896791 
   3.57565217 -847.07922043 
   3.68173913 -847.07940152 
   3.78782609 -847.07964645 
   3.89391304 -847.07963717 
   4.00000000 -847.07978336 
