   1.56000000 -847.17027910 
   1.66608696 -847.16784359 
   1.77217391 -847.16117927 
   1.87826087 -847.15315941 
   1.98434783 -847.14620203 
   2.09043478 -847.14125981 
   2.19652174 -847.13853349 
   2.30260870 -847.13827766 
   2.40869565 -847.13953919 
   2.51478261 -847.14134693 
   2.62086957 -847.14315483 
   2.72695652 -847.14467282 
   2.83304348 -847.14589521 
   2.93913043 -847.14673104 
   3.04521739 -847.14864484 
   3.15130435 -847.14910121 
   3.25739130 -847.14935243 
   3.36347826 -847.14945830 
   3.46956522 -847.14944359 
   3.57565217 -847.14936202 
   3.68173913 -847.14921831 
   3.78782609 -847.14901364 
   3.89391304 -847.14882440 
   4.00000000 -847.14857670 
