   1.55000000 -847.17166336 
   1.65652174 -847.16953673 
   1.76304348 -847.16310517 
   1.86956522 -847.15512567 
   1.97608696 -847.14786455 
   2.08260870 -847.14266952 
   2.18913043 -847.13917094 
   2.29565217 -847.13819769 
   2.40217391 -847.13893508 
   2.50869565 -847.14038637 
   2.61521739 -847.14191489 
   2.72173913 -847.14324044 
   2.82826087 -847.14425758 
   2.93478261 -847.14499721 
   3.04130435 -847.14549971 
   3.14782609 -847.14592873 
   3.25434783 -847.14742714 
   3.36086957 -847.14832739 
   3.46739130 -847.14900149 
   3.57391304 -847.14945376 
   3.68043478 -847.14983220 
   3.78695652 -847.15005326 
   3.89347826 -847.15019050 
   4.00000000 -847.15104872 
