   1.55000000 -847.10093747 
   1.65652174 -847.09910775 
   1.76304348 -847.09302792 
   1.86956522 -847.08518133 
   1.97608696 -847.07742774 
   2.08260870 -847.07032984 
   2.18913043 -847.06683116 
   2.29565217 -847.06604663 
   2.40217391 -847.06705877 
   2.50869565 -847.06886718 
   2.61521739 -847.07077664 
   2.72173913 -847.07251555 
   2.82826087 -847.07393941 
   2.93478261 -847.07499293 
   3.04130435 -847.07577176 
   3.14782609 -847.07599362 
   3.25434783 -847.07505135 
   3.36086957 -847.07607040 
   3.46739130 -847.07692461 
   3.57391304 -847.07761402 
   3.68043478 -847.07820306 
   3.78695652 -847.07863738 
   3.89347826 -847.07891931 
   4.00000000 -847.07891234 
