   1.55000000 -886.40245434 
   1.65208333 -886.39977900 
   1.75416667 -886.39316655 
   1.85625000 -886.38485335 
   1.95833333 -886.37694042 
   2.06041667 -886.37061174 
   2.16250000 -886.36584068 
   2.26458333 -886.36388562 
   2.36666667 -886.36450668 
   2.46875000 -886.36741174 
   2.57083333 -886.37086169 
   2.67291667 -886.37404731 
   2.77500000 -886.37672732 
   2.87708333 -886.37885740 
   2.97916667 -886.38048271 
   3.08125000 -886.38171243 
   3.18333333 -886.38265944 
   3.28541667 -886.38340286 
   3.38750000 -886.38402366 
   3.48958333 -886.38441055 
   3.59166667 -886.38472417 
   3.69375000 -886.38483568 
   3.79583333 -886.38490529 
   3.89791667 -886.38491880 
   4.00000000 -886.38490540 
