   1.55000000 -2044.72330778 
   1.65652174 -2044.72001881 
   1.76304348 -2044.71213944 
   1.86956522 -2044.70256997 
   1.97608696 -2044.69388822 
   2.08260870 -2044.68732536 
   2.18913043 -2044.68343884 
   2.29565217 -2044.68634540 
   2.40217391 -2044.68965184 
   2.50869565 -2044.69382642 
   2.61521739 -2044.69788992 
   2.72173913 -2044.70143161 
   2.82826087 -2044.70430380 
   2.93478261 -2044.70656288 
   3.04130435 -2044.70828188 
   3.14782609 -2044.70959080 
   3.25434783 -2044.71063518 
   3.36086957 -2044.71149201 
   3.46739130 -2044.71214022 
   3.57391304 -2044.71253748 
   3.68043478 -2044.71265802 
   3.78695652 -2044.71256872 
   3.89347826 -2044.71229339 
   4.00000000 -2044.71188849 
