   1.57000000 -1382.09986706 
   1.67565217 -1382.09717962 
   1.78130435 -1382.09055918 
   1.88695652 -1382.08283541 
   1.99260870 -1382.07640127 
   2.09826087 -1382.07182894 
   2.20391304 -1382.06922376 
   2.30956522 -1382.06900682 
   2.41521739 -1382.07022438 
   2.52086957 -1382.07191614 
   2.62652174 -1382.07353176 
   2.73217391 -1382.07485297 
   2.83782609 -1382.07583631 
   2.94347826 -1382.07661680 
   3.04913043 -1382.07767910 
   3.15478261 -1382.07845301 
   3.26043478 -1382.07903233 
   3.36608696 -1382.07939549 
   3.47173913 -1382.07953781 
   3.57739130 -1382.07960709 
   3.68304348 -1382.07967833 
   3.78869565 -1382.07964173 
   3.89434783 -1382.07957698 
   4.00000000 -1382.07944339 
