   1.57000000 -1381.97785688 
   1.67565217 -1381.97561125 
   1.78130435 -1381.96935478 
   1.88695652 -1381.96183850 
   1.99260870 -1381.95482177 
   2.09826087 -1381.94968611 
   2.20391304 -1381.94734577 
   2.30956522 -1381.94757505 
   2.41521739 -1381.94932678 
   2.52086957 -1381.95160354 
   2.62652174 -1381.95379506 
   2.73217391 -1381.95554261 
   2.83782609 -1381.95688188 
   2.94347826 -1381.95741150 
   3.04913043 -1381.95613604 
   3.15478261 -1381.95686450 
   3.26043478 -1381.95762556 
   3.36608696 -1381.95817689 
   3.47173913 -1381.95885256 
   3.57739130 -1381.95905559 
   3.68304348 -1381.95954807 
   3.78869565 -1381.95972083 
   3.89434783 -1381.95964719 
   4.00000000 -1381.95989744 
